Start loading...
Read the pickle file of test set...
Read the pickle file of train set...
train_size: 400
test_size: 240
Start training...
The 1 round begin...
Epoch [1/20], Loss: 1.1014
Epoch [2/20], Loss: 1.1667
Epoch [3/20], Loss: 1.4081
Epoch [4/20], Loss: 1.1421
Epoch [5/20], Loss: 1.0866
Epoch [6/20], Loss: 1.0544
Epoch [7/20], Loss: 0.9782
Epoch [8/20], Loss: 1.2239
Epoch [9/20], Loss: 1.0751
Epoch [10/20], Loss: 1.1055
Epoch [11/20], Loss: 1.1266
Epoch [12/20], Loss: 1.1398
Epoch [13/20], Loss: 1.3077
Epoch [14/20], Loss: 1.2636
Epoch [15/20], Loss: 1.2931
Epoch [16/20], Loss: 1.0806
Epoch [17/20], Loss: 1.1045
Epoch [18/20], Loss: 1.2142
Epoch [19/20], Loss: 1.1580
Epoch [20/20], Loss: 1.1974
The accuracy of total 240 images: 44.5833%
The 2 round begin...
Epoch [1/20], Loss: 1.3413
Epoch [2/20], Loss: 1.1498
Epoch [3/20], Loss: 1.3558
Epoch [4/20], Loss: 1.1980
Epoch [5/20], Loss: 1.1965
Epoch [6/20], Loss: 1.0653
Epoch [7/20], Loss: 1.0424
Epoch [8/20], Loss: 0.9871
Epoch [9/20], Loss: 0.9709
Epoch [10/20], Loss: 1.6902
Epoch [11/20], Loss: 1.1814
Epoch [12/20], Loss: 1.2630
Epoch [13/20], Loss: 1.2413
Epoch [14/20], Loss: 1.0079
Epoch [15/20], Loss: 1.1219
Epoch [16/20], Loss: 1.0120
Epoch [17/20], Loss: 1.0740
Epoch [18/20], Loss: 1.2381
Epoch [19/20], Loss: 1.2025
Epoch [20/20], Loss: 1.0990
The accuracy of total 240 images: 43.7500%
The 3 round begin...
Epoch [1/20], Loss: 1.3542
Epoch [2/20], Loss: 1.2753
Epoch [3/20], Loss: 1.5197
Epoch [4/20], Loss: 1.1091
Epoch [5/20], Loss: 0.8490
Epoch [6/20], Loss: 0.9780
Epoch [7/20], Loss: 1.1234
Epoch [8/20], Loss: 0.9351
Epoch [9/20], Loss: 1.0600
Epoch [10/20], Loss: 1.0408
Epoch [11/20], Loss: 1.0939
Epoch [12/20], Loss: 1.0000
Epoch [13/20], Loss: 1.1745
Epoch [14/20], Loss: 1.1986
Epoch [15/20], Loss: 1.2722
Epoch [16/20], Loss: 1.0117
Epoch [17/20], Loss: 1.1862
Epoch [18/20], Loss: 0.8983
Epoch [19/20], Loss: 1.1660
Epoch [20/20], Loss: 1.0538
The accuracy of total 240 images: 42.5000%
The 4 round begin...
Epoch [1/20], Loss: 0.9019
Epoch [2/20], Loss: 1.3349
Epoch [3/20], Loss: 1.1045
Epoch [4/20], Loss: 1.0786
Epoch [5/20], Loss: 1.0004
Epoch [6/20], Loss: 1.0924
