Start loading...
Read the pickle files...
train_size: 960
test_size: 240
Start training...
The 1 round begin...
Epoch [1/20], Loss: 1.2401
Epoch [2/20], Loss: 1.3406
Epoch [3/20], Loss: 1.2067
Epoch [4/20], Loss: 1.2402
Epoch [5/20], Loss: 1.3294
Epoch [6/20], Loss: 1.3352
Epoch [7/20], Loss: 1.2761
Epoch [8/20], Loss: 1.2549
Epoch [9/20], Loss: 1.3981
Epoch [10/20], Loss: 1.2192
Epoch [11/20], Loss: 1.3090
Epoch [12/20], Loss: 1.2323
Epoch [13/20], Loss: 1.2402
Epoch [14/20], Loss: 1.1906
Epoch [15/20], Loss: 1.2684
Epoch [16/20], Loss: 1.3281
Epoch [17/20], Loss: 1.1867
Epoch [18/20], Loss: 1.2930
Epoch [19/20], Loss: 1.1410
Epoch [20/20], Loss: 1.3216
The accuracy of total 240 images: 50.4167%
The 2 round begin...
Epoch [1/20], Loss: 1.2742
Epoch [2/20], Loss: 1.1846
Epoch [3/20], Loss: 1.2826
Epoch [4/20], Loss: 1.1716
Epoch [5/20], Loss: 1.2092
Epoch [6/20], Loss: 1.2807
Epoch [7/20], Loss: 1.1942
Epoch [8/20], Loss: 1.3009
Epoch [9/20], Loss: 1.1977
Epoch [10/20], Loss: 1.2678
Epoch [11/20], Loss: 1.4081
Epoch [12/20], Loss: 1.1385
Epoch [13/20], Loss: 1.1830
Epoch [14/20], Loss: 1.2320
Epoch [15/20], Loss: 1.3878
Epoch [16/20], Loss: 1.2337
Epoch [17/20], Loss: 1.1582
Epoch [18/20], Loss: 1.1479
Epoch [19/20], Loss: 1.1875
Epoch [20/20], Loss: 1.2346
The accuracy of total 240 images: 52.5000%
The 3 round begin...
Epoch [1/20], Loss: 1.1724
Epoch [2/20], Loss: 1.2245
Epoch [3/20], Loss: 1.2435
Epoch [4/20], Loss: 1.1211
Epoch [5/20], Loss: 1.1980
Epoch [6/20], Loss: 1.1264
Epoch [7/20], Loss: 1.1758
Epoch [8/20], Loss: 1.1660
Epoch [9/20], Loss: 1.1357
Epoch [10/20], Loss: 1.0437
Epoch [11/20], Loss: 1.2544
Epoch [12/20], Loss: 1.1360
Epoch [13/20], Loss: 1.1091
Epoch [14/20], Loss: 1.1003
Epoch [15/20], Loss: 1.1401
Epoch [16/20], Loss: 1.0707
Epoch [17/20], Loss: 1.0549
Epoch [18/20], Loss: 1.1203
Epoch [19/20], Loss: 1.0876
Epoch [20/20], Loss: 1.1520
The accuracy of total 240 images: 50.8333%
The 4 round begin...
Epoch [1/20], Loss: 1.1028
Epoch [2/20], Loss: 1.1546
Epoch [3/20], Loss: 0.9579
Epoch [4/20], Loss: 1.1871
Epoch [5/20], Loss: 1.2517
Epoch [6/20], Loss: 1.1297
Epoch [7/20], Loss: 1.0871
Epoch [8/20], Loss: 1.1908
Epoch [9/20], Loss: 1.0989
Epoch [10/20], Loss: 1.0781
Epoch [11/20], Loss: 1.1252
Epoch [12/20], Loss: 1.0547
Epoch [13/20], Loss: 1.1648
Epoch [14/20], Loss: 1.1983
Epoch [15/20], Loss: 1.1527
Epoch [16/20], Loss: 1.1472
Epoch [17/20], Loss: 1.1026
Epoch [18/20], Loss: 1.1754
Epoch [19/20], Loss: 1.0776
Epoch [20/20], Loss: 1.0393
The accuracy of total 240 images: 52.5000%
The 5 round begin...
Epoch [1/20], Loss: 1.1936
Epoch [2/20], Loss: 1.0681
Epoch [3/20], Loss: 1.2656
Epoch [4/20], Loss: 1.1334
Epoch [5/20], Loss: 1.1222
Epoch [6/20], Loss: 1.0604
Epoch [7/20], Loss: 1.1872
Epoch [8/20], Loss: 1.1606
Epoch [9/20], Loss: 1.1487
Epoch [10/20], Loss: 1.1430
Epoch [11/20], Loss: 1.0452
Epoch [12/20], Loss: 1.1720
Epoch [13/20], Loss: 1.0097
Epoch [14/20], Loss: 1.0961
Epoch [15/20], Loss: 1.0390
Epoch [16/20], Loss: 1.2558
Epoch [17/20], Loss: 1.1151
Epoch [18/20], Loss: 1.0968
Epoch [19/20], Loss: 1.0886
Epoch [20/20], Loss: 1.0140
The accuracy of total 240 images: 50.4167%
The 6 round begin...
Epoch [1/20], Loss: 1.1814
Epoch [2/20], Loss: 1.2341
Epoch [3/20], Loss: 1.1238
Epoch [4/20], Loss: 1.0896
Epoch [5/20], Loss: 1.0639
Epoch [6/20], Loss: 1.1319
Epoch [7/20], Loss: 1.0125
Epoch [8/20], Loss: 1.1342
Epoch [9/20], Loss: 1.0307
Epoch [10/20], Loss: 1.0797
Epoch [11/20], Loss: 1.0329
Epoch [12/20], Loss: 1.1829
Epoch [13/20], Loss: 1.1157
Epoch [14/20], Loss: 0.9640
Epoch [15/20], Loss: 1.0413
Epoch [16/20], Loss: 1.0440
Epoch [17/20], Loss: 1.2547
Epoch [18/20], Loss: 1.1296
Epoch [19/20], Loss: 1.1702
Epoch [20/20], Loss: 1.0692
The accuracy of total 240 images: 51.6667%
The 7 round begin...
Epoch [1/20], Loss: 1.0061
Epoch [2/20], Loss: 0.9392
Epoch [3/20], Loss: 1.0606
Epoch [4/20], Loss: 0.9655
